Read data time:  0.110990
Learn transition time:  0.163236
Generate graph time:  0.400522
End-to-end Time:  0.674748
443 827 1096250420
460 890 1096246051
460 890 1096246952
460 890 1096248495
460 890 1096335216
460 890 1096941694
460 890 1096941873
460 890 1096941962
460 890 1096942348
103 1230 1096235656
840 526 1096223220
1123 308 1096244063
1123 308 1096297720
169 230 1096223153
169 230 1096680866
553 108 1096187767
553 108 1096857228
1414 691 1096182202
687 1401 1096179314
1470 1163 1096172750
1470 1163 1096178230
280 1804 1096170815
1448 1454 1096157354
1809 790 1096107532
1832 1001 1096104645
708 1293 1096091887
1592 1682 1096067255
498 59 1096066165
498 59 1096066268
498 59 1096066421
498 59 1096066810
498 59 1096066852
498 59 1096066996
498 59 1096067026
498 59 1096067135
498 59 1096067252
498 59 1096067307
498 59 1096067586
498 59 1096067648
498 59 1096067677
498 59 1096067807
498 59 1096067858
498 59 1096067887
498 59 1096067940
498 59 1096067972
498 59 1096068051
498 59 1096068133
498 59 1096068169
498 59 1096068179
1806 1371 1096063906
276 1635 1096059458
276 1635 1096059777
276 1635 1096060107
276 1635 1096060276
276 1635 1096060283
276 1635 1096340832
276 1635 1096941688
1371 1001 1096036626
1265 137 1096018985
1055 460 1096008400
959 1377 1096007957
959 1377 1097725758
1383 852 1096005551
372 1755 1095974370
372 1755 1096059717
372 1755 1096073209
372 1755 1096244794
426 1344 1095925823
426 1344 1096042398
426 1344 1096072693
821 766 1095924363
821 766 1095983661
821 766 1096026369
389 1071 1095923727
389 1071 1095923972
389 1071 1095924165
389 1071 1095924336
389 1071 1095924483
389 1071 1095924684
389 1071 1095924921
389 1071 1095925150
1243 821 1095919240
1671 451 1095916310
1671 451 1095987697
1100 1600 1095916294
1100 1600 1095973986
1404 767 1095897918
1081 1459 1095897705
1826 777 1095887550
859 1712 1095838920
244 250 1095838454
244 250 1095838468
1635 1389 1095822122
1635 1389 1095822349
169 981 1095820721
1246 1708 1095816837
1246 1708 1096328215
1246 1708 1096328375
1208 529 1095803592
827 680 1095800733
827 680 1095822197
827 680 1095875234
827 680 1095880955
827 680 1095975561
827 680 1097291728
1773 1391 1095797511
1773 1391 1095797543
1773 1391 1095874932
1773 1391 1096694338
1773 1391 1096865747
833 423 1095789704
833 423 1095804486
833 423 1095835341
833 423 1095875994
833 423 1095906151
833 423 1097128790
434 283 1095789653
17 1100 1095758802
17 1100 1095835224
450 788 1095753895
450 788 1095754153
1313 525 1095749755
758 1005 1095748504
529 1454 1095739952
446 78 1095731786
443 651 1095726261
1377 522 1095693112
1709 1295 1095656189
1665 17 1095653379
1665 17 1095696604
1665 17 1095868451
1665 17 1096063814
821 1393 1095647308
17 522 1095633343
272 885 1095631612
896 1842 1095572569
517 6 1095561711
257 1043 1095561412
1377 1003 1095554836
169 1073 1095547183
33 1310 1095492331
33 1310 1095663584
33 1310 1097650124
1366 1209 1095476017
1387 385 1095472984
1387 385 1095696822
1168 128 1095469395
17 1425 1095455265
1665 800 1095399308
1208 1501 1095385855
1246 937 1095378611
684 1065 1095322023
684 1065 1095405876
684 1065 1096676303
684 1065 1096699039
684 1065 1096953670
684 1065 1097108784
787 767 1095320315
1047 1515 1095316648
15 184 1095314339
1017 59 1095312086
145 651 1097387637
145 651 1097446134
1493 496 1095311246
1493 496 1097037668
1014 1252 1095309947
1508 59 1095306078
747 1149 1095292545
747 1149 1095455339
543 658 1095292435
543 658 1095293895
543 658 1095718361
543 658 1096075151
173 1629 1095291960
173 1629 1095455494
1691 826 1095218918
1070 1001 1095211296
708 1232 1095209570
708 1232 1095319964
1707 1521 1095202013
1707 1521 1095371913
1707 1521 1095468357
344 553 1095195524
1210 979 1095195516
599 40 1095186806
1340 201 1095144929
1340 201 1095202027
1340 201 1095221764
1340 201 1095392532
1340 201 1095468403
1340 201 1095980334
1340 201 1095981874
1340 201 1095982513
1340 201 1095983579
1340 201 1095983801
832 1344 1095144284
94 687 1095139775
94 687 1095173107
535 484 1095133712
535 484 1095669047
586 1329 1095131958
586 1329 1095132227
586 1329 1095144799
974 1234 1095693963
1676 244 1095126052
1676 244 1095126483
1676 244 1095126840
1676 244 1095128874
1387 579 1095125958
1387 579 1095126348
1387 579 1095126593
1387 579 1095127446
1736 1344 1095124388
1515 1080 1095121415
886 427 1095117880
886 427 1095221681
328 1269 1095117088
276 785 1095103576
276 785 1095103578
276 785 1095307633
1755 719 1095094089
496 1246 1095092778
859 1694 1095051210
1396 741 1095049461
1396 741 1095185186
1371 443 1095049173
1371 443 1095139657
1371 443 1095838527
1062 1621 1095048514
1414 1028 1095046171
617 199 1095045818
617 199 1095201884
617 199 1095221647
617 199 1095223703
617 199 1095449062
617 199 1095482346
617 199 1095981184
617 199 1095981199
617 199 1095982949
1752 394 1095044175
1752 394 1095209279
1752 394 1095405850
1752 394 1095445655
615 1186 1095043003
615 1186 1095094573
615 1186 1095173371
615 1186 1095181269
615 1186 1095211860
615 1186 1095282599
615 1186 1095381656
615 1186 1095381913
615 1186 1095431639
615 1186 1095443183
206 574 1095041934
206 574 1096568498
33 784 1095039209
33 784 1095039246
821 599 1095028644
1371 738 1095028522
1371 738 1095033136
777 1654 1094964836
1308 687 1094960683
490 519 1094944482
160 1182 1094941466
1099 708 1094937310
1099 708 1094937424
1099 708 1094938743
1099 708 1094939097
1099 708 1094939366
1099 708 1094960924
1099 708 1095057863
1099 708 1095230021
1099 708 1095266592
1513 502 1094937183
791 1414 1094936278
1220 1237 1094935627
283 862 1094934169
283 862 1095229584
283 862 1097475046
708 1166 1094882741
708 1166 1095114681
1599 1230 1097558026
1599 1230 1097730100
1599 1230 1098324316
1367 1308 1094882520
1367 1308 1095901063
1665 624 1094837306
646 206 1094781035
646 206 1094841489
1208 1233 1094709761
1208 1233 1094765039
1208 1233 1095142095
623 1614 1094707183
623 1614 1094760467
971 527 1094706889
367 735 1094705754
367 735 1094708373
367 735 1094771069
835 184 1094697137
835 184 1095750294
835 184 1096067498
1647 1876 1094691199
74 735 1094628496
74 735 1094702744
74 735 1094854930
74 735 1095298452
74 735 1097132507
74 735 1097132596
74 735 1097132623
74 735 1097133043
74 735 1097133844
74 735 1097134017
74 735 1097134188
74 735 1097134339
74 735 1097134529
74 735 1097134754
74 735 1097135135
74 735 1097135484
74 735 1097135659
1088 522 1094628217
1088 522 1094722060
564 634 1094625918
1100 1246 1094616275
1100 1246 1094619293
251 1168 1094605261
251 1168 1095348348
460 1839 1094604552
1208 772 1094603937
1481 1182 1094597769
1481 1182 1094701278
331 1369 1094544491
253 203 1094543451
543 543 1094542055
1488 232 1095143974
1003 1323 1094528030
238 232 1094519466
1654 694 1094519076
1654 694 1094616586
1654 694 1096833725
929 553 1094496063
105 1208 1094493561
646 496 1094481709
753 1638 1094461702
380 1377 1094448174
380 1377 1094448211
380 1377 1094448255
1599 1351 1094446271
820 1133 1094342347
820 1133 1095138402
820 1133 1095651967
1242 713 1094260728
1600 535 1094247112
1383 1495 1094174981
1100 602 1094261536
180 929 1094165806
809 1208 1094165621
809 1208 1094165878
797 138 1094155777
797 138 1094188225
797 138 1094230093
797 138 1096410034
1636 862 1094148335
1636 862 1094160752
1636 862 1094161610
1636 862 1094190076
1636 862 1094287270
1636 862 1094287288
1636 862 1094287311
1636 862 1094316052
1636 862 1094357993
1636 862 1094358021
258 1214 1094132107
1271 326 1094108620
928 902 1094105808
502 675 1094102130
4 1448 1094091808
1659 1404 1094080846
1659 1404 1094241794
1659 1404 1094282160
1659 1404 1094365202
751 1177 1094068328
751 1177 1094433467
1166 341 1094062229
1497 1377 1094028160
1815 580 1094028015
1736 1033 1094024353
708 1891 1093999296
708 1891 1094024213
708 1891 1094051378
708 1891 1094062746
708 1891 1094078924
708 1891 1094100101
1832 308 1093991773
1757 1329 1093941438
735 1034 1093937346
735 1034 1094193112
1177 699 1093933710
1636 1585 1093906942
1493 1752 1093906604
1310 1232 1093881167
1310 1232 1093924893
1310 1232 1095309007
1742 1201 1093848685
1742 1201 1093908025
1742 1201 1093919288
1742 1201 1093919566
347 128 1093822165
1208 707 1093817724
1208 707 1093854608
1208 707 1093896646
1208 707 1093896699
1208 707 1094168469
1208 707 1094925474
1208 707 1095197330
1208 707 1095234636
1208 707 1095303852
1208 707 1096712117
1208 707 1097009667
1005 989 1093808965
1005 989 1094939083
1005 989 1095372230
1005 989 1095980684
1614 616 1093757410
1634 1522 1093756424
1634 1522 1093756883
1705 397 1093753196
1705 397 1093824320
1705 397 1093846502
1705 397 1093880894
1157 1839 1093734475
1796 1735 1093729417
1796 1735 1093753918
1796 1735 1093841266
1796 1735 1093848243
1796 1735 1093908327
1801 741 1093723871
1801 741 1093906448
1801 741 1098355206
413 774 1093717695
71 394 1093717646
920 145 1093717455
1493 1230 1093717441
1028 73 1093717401
276 1767 1093717376
1366 746 1093717328
621 1767 1093717286
630 1579 1093717248
1260 1431 1093717186
1508 138 1093717136
380 1561 1093717052
1719 460 1093717023
1371 1428 1093716791
450 1617 1093716749
1629 1136 1093716666
701 827 1093716654
1381 751 1093716595
1592 1248 1093716566
958 682 1093716548
21 808 1093687567
253 921 1093650639
253 921 1093890865
253 921 1094863191
1213 71 1096602031
655 1778 1093606937
1848 1322 1093594190
1207 1372 1093592565
1182 6 1093591909
543 1153 1093579379
543 1153 1093650490
1735 251 1093570240
450 1654 1093566053
1675 446 1093565522
1839 1219 1093564836
1839 1219 1093596879
1208 494 1093563667
1208 494 1093587224
1010 308 1093563291
1612 59 1093542259
1612 59 1094023458
1612 59 1094147485
1612 59 1094326069
1612 59 1094878928
595 68 1093514167
308 1151 1093511124
230 1333 1093506729
1765 679 1093505018
1765 679 1093574650
1765 679 1093642409
1765 679 1096574872
450 543 1093497361
1688 224 1093497240
289 1712 1093491028
289 1712 1094535117
289 1712 1094535147
289 1712 1094536132
289 1712 1094622795
289 1712 1094917430
289 1712 1097595371
599 929 1093436651
599 929 1093440195
253 833 1093436530
253 833 1093436614
253 833 1093436765
253 833 1093436922
253 833 1093437226
253 833 1093437547
210 199 1093419598
1593 502 1093411431
1593 502 1093582866
687 690 1093407760
767 1749 1093407532
232 372 1093399648
809 874 1093397987
874 1168 1093387861
443 167 1093373274
443 167 1093420171
273 244 1093344381
273 244 1093349832
524 335 1093343323
524 335 1093349073
524 335 1093350212
1794 394 1093332144
1794 394 1094247166
775 535 1093327602
394 704 1093327134
1428 581 1093326893
1428 581 1093327443
1428 581 1093327640
1428 581 1093327882
1570 980 1093319753
945 777 1098776254
746 1729 1093317927
463 673 1093307765
173 634 1093305623
1312 394 1093301707
1312 394 1094163917
1312 394 1094182559
751 597 1095656768
636 979 1093291663
636 979 1093297536
1396 920 1093285462
1865 667 1093249033
1865 667 1094450521
344 1121 1093248065
1501 251 1093247765
17 59 1093245996
17 59 1093246403
17 59 1093281556
17 59 1093337225
625 838 1093245017
783 8 1093242272
1842 81 1093242193
267 676 1093238855
529 1195 1093233545
529 1195 1093242211
529 1195 1093246909
1830 297 1093232383
1830 297 1093233109
1830 297 1093233235
1830 297 1093233766
1830 297 1093233901
1830 297 1093234238
1830 297 1093234372
1830 297 1093234539
1830 297 1093234711
1830 297 1093234927
1830 297 1093235050
94 477 1093232043
767 835 1093228067
1310 1208 1093214463
1310 1208 1093245743
1310 1208 1093328321
184 713 1093210148
184 713 1093246559
184 713 1093299936
184 713 1093471693
184 713 1094115583
184 713 1094229473
184 713 1094245589
184 713 1094274890
184 713 1094287041
184 713 1094447605
184 713 1094585011
184 713 1094614556
184 713 1094615104
184 713 1094939598
184 713 1094939655
184 713 1094939724
184 713 1095043197
184 713 1095924491
184 713 1096129767
184 713 1096233922
673 527 1093161601
1027 145 1093155024
1027 145 1095810461
917 1712 1097526636
917 1712 1097557348
917 1712 1097609599
1698 1721 1093154886
840 1505 1093142115
840 1505 1093547708
840 1505 1093547710
840 1505 1094065743
840 1505 1094149618
840 1505 1094374374
929 1759 1093141295
1293 1687 1093140437
1293 1687 1093733168
1293 1687 1093757285
1293 1687 1093757342
1293 1687 1093757571
1293 1687 1093757931
1293 1687 1093758220
1293 1687 1093758487
1293 1687 1093758996
903 1208 1097290430
903 1208 1097290434
903 1208 1097290437
297 619 1093128946
683 289 1093122789
683 289 1093122805
787 1827 1093068684
787 1827 1093142795
787 1827 1093163629
787 1827 1093213936
787 1827 1093304269
787 1827 1093311154
787 1827 1093334430
787 1827 1093370505
787 1827 1093373031
787 1827 1093387821
787 1827 1093397451
787 1827 1093419690
787 1827 1093451876
787 1827 1093475629
787 1827 1093510537
787 1827 1093543325
787 1827 1093564033
787 1827 1093569393
787 1827 1093645847
787 1827 1093651759
787 1827 1093657178
787 1827 1093671126
787 1827 1093690636
787 1827 1093760238
787 1827 1094028424
787 1827 1094189537
787 1827 1094238931
787 1827 1094443326
787 1827 1094532971
787 1827 1094598512
787 1827 1094598518
787 1827 1094957011
787 1827 1095111999
787 1827 1095127571
787 1827 1095209365
787 1827 1095226440
787 1827 1095379422
787 1827 1095586828
787 1827 1096020132
43 420 1093060490
1758 416 1093054261
1758 416 1093123226
327 169 1093039928
327 169 1093406368
1102 838 1093035579
1102 838 1093064746
1102 838 1093138852
500 416 1093027123
500 416 1093988857
1028 1323 1093023959
1028 1323 1093055440
1028 1323 1093107843
1028 1323 1093134719
1614 862 1092980854
209 1268 1092975595
209 1268 1092977262
1100 930 1092970994
1100 930 1093414939
1100 930 1093415001
1100 930 1093415125
1100 930 1093415435
1704 1691 1092970113
1220 1260 1092966688
1307 1086 1092958585
1307 1086 1093414955
1307 1086 1093415080
1307 1086 1093415161
529 95 1092950369
682 206 1092941552
173 1832 1092896514
173 1832 1093157732
1073 1001 1092896366
1073 1001 1092898275
563 20 1092893955
563 20 1092984251
1676 1669 1092891907
380 470 1092890658
380 470 1092890680
380 470 1092890939
380 470 1092891282
380 470 1092891576
380 470 1092891993
380 470 1092892835
380 470 1092892980
380 470 1092893561
380 470 1092894315
380 470 1092895536
380 470 1092962874
380 470 1092963939
380 470 1093021532
380 470 1093155742
283 1654 1092877548
718 1203 1092877500
718 1203 1092946475
718 1203 1092964130
718 1203 1093022121
718 1203 1093055032
718 1203 1093634472
1150 1888 1095821176
1291 173 1092872036
450 680 1092869754
450 680 1093127434
450 680 1093155428
450 680 1093210771
450 680 1093293621
450 680 1093308048
450 680 1093312394
450 680 1093358812
450 680 1093372806
450 680 1093373401
450 680 1093388108
450 680 1093397875
450 680 1093446201
450 680 1093453039
450 680 1093485916
450 680 1093532244
450 680 1093544485
450 680 1093566782
450 680 1093569507
450 680 1093647741
450 680 1093652482
450 680 1093668565
450 680 1093675609
450 680 1093710949
450 680 1093896996
450 680 1094055017
450 680 1094191095
450 680 1094254105
450 680 1094485898
450 680 1094597435
450 680 1094605643
450 680 1095014240
450 680 1095120687
450 680 1095139107
450 680 1095212075
450 680 1095282985
450 680 1095381543
450 680 1095710089
450 680 1096065669
689 327 1092866159
689 327 1092967524
689 327 1093054989
1654 1712 1092862119
1654 1712 1092945680
1654 1712 1093044770
1654 1712 1095015345
1654 1712 1095015486
1654 1712 1095015652
1654 1712 1095015857
874 1055 1095034893
874 1055 1095753957
874 1055 1095791667
33 838 1092845826
33 838 1093047126
33 838 1093813604
943 1464 1092825154
943 1464 1092863737
443 1716 1092823199
443 1716 1092883136
443 1716 1092971136
1746 708 1092823082
1746 708 1092855154
1746 708 1092902666
673 397 1098682015
1208 1123 1092820090
1208 1123 1093763051
1208 1123 1093763267
1422 1388 1092809856
1422 1388 1092868869
1422 1388 1092928948
859 946 1092802642
859 946 1092885962
859 946 1092963236
97 1225 1092799661
97 1225 1092897199
1329 14 1092798172
1208 323 1092758166
698 1254 1092734876
308 1337 1092733717
308 1337 1096271524
308 1337 1096826789
268 1647 1092731761
1377 826 1092730803
1414 272 1092727804
1414 272 1092728231
1414 272 1092728576
255 249 1092726861
255 249 1092728311
255 249 1092906113
255 249 1093579688
184 1203 1092723072
184 1203 1092724180
184 1203 1092727243
1888 1351 1092723010
1888 1351 1092723403
1888 1351 1092724787
1151 1473 1092705341
1151 1473 1092980085
1749 1832 1092705188
1590 571 1092696155
105 253 1092695216
105 253 1094228954
1144 1276 1092693623
1366 1848 1092693415
88 249 1092692924
88 249 1095096580
88 249 1095273566
88 249 1095443997
1481 1832 1092692263
1481 1832 1097528955
1481 1832 1097715567
1230 232 1092689408
1220 1237 1092678338
1220 1237 1092706854
1220 1237 1092763039
1220 1237 1092790911
1220 1237 1092807047
1220 1237 1092879314
1220 1237 1094867445
1220 1237 1097172953
1220 1237 1097294244
1220 1237 1097468291
1220 1237 1097782702
1220 1237 1098076390
1421 785 1092676894
1421 785 1092706631
1421 785 1092763772
1421 785 1092879708
1421 785 1092971734
1421 785 1093025572
1421 785 1093195129
1421 785 1093304663
1421 785 1093493208
1421 785 1093578928
1421 785 1093840494
1421 785 1093977917
1421 785 1094145930
1421 785 1094771282
1421 785 1098721234
1654 1230 1092671035
20 561 1092645766
71 1268 1092641720
71 1268 1092727181
71 1268 1092729261
71 1268 1093074861
1491 1783 1092640908
108 943 1092640318
108 943 1092759805
108 943 1092983691
108 943 1093231454
108 943 1094458006
877 1254 1092806139
877 1254 1093035812
877 1254 1093142677
56 1529 1092637077
1623 1100 1092630344
1623 1100 1092630545
169 1307 1092624678
169 1307 1092708511
169 1307 1098338707
169 1307 1098774255
494 909 1092622943
705 81 1092607346
705 81 1092720663
1293 169 1092560773
1293 169 1092631997
1293 169 1092814436
1888 1832 1092529677
1888 1832 1092554920
790 941 1092480880
790 1330 1092464867
790 1330 1092546826
790 1330 1092754293
1758 1641 1092444142
1758 1641 1092721109
1758 1641 1092741805
902 691 1092438113
902 691 1092690772
902 691 1092760238
902 691 1092846898
329 1848 1092428789
329 1848 1092691036
329 1848 1094417574
1736 1459 1092428684
1654 1864 1092428202
153 1495 1092427118
862 751 1092426410
15 1198 1092425755
1821 1422 1095975504
1821 1422 1096318810
464 56 1092425605
572 777 1092425298
90 1665 1092424524
1665 182 1092424444
1201 927 1092424279
337 1414 1092424155
1281 321 1092380853
884 902 1092368604
884 902 1092700747
1610 728 1092358472
1610 728 1092409124
1610 728 1092427959
1538 1421 1092349900
1538 1421 1095476582
1538 1421 1095796940
540 1095 1092349314
1349 682 1092334996
149 1557 1092331136
877 682 1092327367
877 682 1093302420
1856 898 1092325134
1856 898 1093425718
450 1585 1092322893
1228 885 1092292057
1228 885 1092351016
1228 885 1092471175
1228 885 1092795281
1175 1885 1092291004
1175 1885 1092331449
441 785 1092288978
441 785 1092529653
441 785 1092682254
441 785 1092710852
1349 343 1092287367
1074 1469 1092286986
1074 1469 1092700410
1074 1469 1093764630
15 1298 1092286337
1100 1233 1092285653
436 1351 1092283284
436 1351 1092300074
436 1351 1092365894
436 1351 1092700176
436 1351 1092797929
436 1351 1097596046
1208 524 1092277532
1832 1654 1092257364
1832 1654 1092292122
1161 130 1092254280
1161 130 1092254416
1161 130 1092257007
718 33 1092250518
718 33 1095280191
718 33 1095280676
718 33 1095281327
718 33 1095281829
718 33 1095281975
718 33 1095282277
718 33 1095282303
718 33 1095282579
718 33 1095282778
718 33 1095298786
718 33 1095298845
718 33 1095298924
718 33 1095299686
718 33 1095300147
718 33 1095301532
718 33 1095302041
718 33 1095302419
718 33 1095303031
718 33 1095303887
718 33 1095304940
718 33 1095305700
718 33 1095305839
718 33 1095454939
718 33 1095455290
718 33 1095460005
718 33 1095460026
718 33 1095460064
718 33 1095460124
718 33 1095460169
718 33 1095460313
718 33 1095460325
718 33 1095460425
718 33 1095460513
718 33 1095460821
718 33 1095461258
718 33 1095461461
718 33 1095462000
718 33 1095462180
718 33 1095462687
718 33 1095462870
718 33 1095463170
718 33 1095463487
718 33 1095468470
718 33 1096058522
718 33 1096058598
718 33 1096058629
718 33 1096058729
718 33 1096058844
718 33 1096059171
718 33 1096059400
718 33 1096059559
718 33 1096059730
718 33 1096059794
718 33 1096060001
718 33 1096060294
718 33 1096060386
718 33 1096060481
718 33 1096060716
718 33 1096060967
718 33 1096061110
718 33 1096061226
718 33 1096061347
718 33 1096061747
718 33 1096062031
718 33 1096062830
718 33 1096063260
718 33 1096063355
718 33 1096063551
718 33 1096063728
718 33 1096064099
718 33 1096064356
718 33 1096064542
718 33 1096064805
718 33 1096065021
718 33 1096065163
718 33 1096065262
718 33 1096065449
718 33 1096065663
718 33 1096065895
718 33 1096066057
718 33 1096066305
718 33 1096066368
718 33 1096066793
718 33 1096066973
718 33 1096067103
718 33 1096067202
718 33 1096068942
718 33 1096069182
718 33 1096070032
718 33 1096576726
718 33 1096662067
718 33 1096664538
718 33 1097037728
718 33 1097037745
239 1770 1092244439
1476 557 1092221169
1476 557 1092243221
1476 557 1092772448
1476 557 1092914578
1476 557 1092941930
185 1327 1092208282
185 1327 1093035950
185 1327 1093830903
185 1327 1094540945
782 184 1092203963
782 184 1092598789
367 418 1092203895
840 838 1092202212
289 417 1092174209
916 1562 1092170708
916 1562 1093457808
441 154 1092157388
1523 535 1092157040
1523 535 1093322318
1523 535 1093602309
1523 535 1093751300
1523 535 1093756679
1523 535 1093757036
1523 535 1093757227
1523 535 1093757301
1523 535 1093757442
797 833 1092156965
1724 725 1092135399
1724 725 1092135458
1724 725 1092220276
1724 725 1092743166
1724 725 1092821038
1724 725 1092908278
1721 1822 1092131447
704 766 1092126607
1832 1393 1092126141
687 327 1092107503
1381 1865 1092102984
1381 1865 1092103122
785 309 1092102934
785 309 1092103050
1100 1165 1093920517
1100 1165 1093920599
1100 1165 1093920773
1100 1165 1093920869
1100 1165 1094604120
1100 1165 1094605187
1100 1165 1095314231
71 627 1092087664
71 627 1092158010
137 1225 1092082253
137 1225 1092156919
137 1225 1093230522
137 1225 1093231029
137 1225 1093231302
367 351 1092082061
367 351 1092156942
367 351 1092168440
367 351 1092425544
617 1665 1092034242
617 1665 1092178418
816 105 1092017791
816 105 1092128142
816 105 1092300983
1220 1371 1091950175
790 392 1091939004
790 392 1092894560
790 392 1094002314
336 70 1098603207
1720 73 1091935274
1720 73 1092032488
708 1640 1091924590
1422 1548 1091915182
1422 1548 1092153071
1422 1548 1092176884
1422 1548 1092176925
1298 496 1091859228
1298 496 1091860573
1298 496 1091861307
1298 496 1091862574
1298 496 1092185969
1298 496 1092244506
1298 496 1092754840
1277 1166 1091856953
1277 1166 1092697166
1277 1166 1098770424
1346 1470 1091850409
1346 1470 1092119512
764 1308 1091818504
1798 1613 1091777917
197 132 1091777417
197 132 1092028867
283 481 1091753203
1323 1391 1091747330
1323 1391 1094450043
114 848 1091742874
114 848 1092174968
1606 128 1091731657
1606 128 1091770572
708 61 1091731607
727 72 1091697374
727 72 1091993213
727 72 1092035848
232 17 1091695689
161 703 1091695424
443 1492 1091685824
443 326 1091682547
443 326 1093238950
443 326 1093239091
1848 1778 1091682441
1848 1778 1091686084
1848 1778 1091686345
1848 1778 1091687451
1848 1778 1091729547
1428 1316 1091680936
1414 1329 1091661930
1414 1329 1091674621
680 1388 1091653459
809 1668 1091652361
1099 382 1091603821
1099 382 1092011598
1099 382 1092604933
1099 382 1092636750
1268 112 1091602292
394 1411 1091599918
394 1411 1091599923
394 1411 1091600187
394 1411 1091600323
